name,org
"Pavan Balaji","Argonne National Laboratory"
"Christian Bell","QLogic"
"George Bosilca","U. Tennessee"
"Ron Brightwell","Sandia National Laboratory"
"Greg Bronevetsky",Lawrence Livermore National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"Bronis deSupinski",Lawrence Livermore National Laboratory
"Gabor Dozsa","IBM Research"
"Edgar Gabriel","U. Houston"
"Patrick Geoffray","Myricom"
"Dave Goddell","Argonne National Laboratory"
"Rich Graham","Oak Ridge National Laboratory"
"Bill Gropp","U. of Illinois at Urbana-Champaign"
"Erez Haba","Microsoft"
"Thomas Herault","INRIA"
"Torsten Hoefler","Indiana U."
"Joshua Hursey","Indiana U."
"Yutaka Ishikawa","U. Tokyo"
"Hideyuki Jitsumoto","Tokyo Institute of Technology"
"James Jolly","Sandia National Laboratory"
"Yann Kalemkarian","Bull"
"Rainer Keller","HLRS"
"Sriram Krishnamoorthy","Pacific Northwest National Laboratory"
"Adam Moody",Lawrence Livermore National Laboratory
"Howard Pritchard","Cray, Inc"
"Rolf Rabenseifner","HLRS"
"Craig Rasmussen","Los Alamos National Laboratory"
"Hubert Ritzdorf","NEC Laboratories, Europe"
"Jeff Squyres","Cisco Systems"
"Lawrence Stewart","SiCortex"
"Naoki Sueyasu","Fujitsu Limited"
"Rajeev Thakur","Argonne National Laboratory"
"Keith Underwood","Intel Corporation"
"Rolf Vandevaart","Sun Microsystems"
