issue_number,topic,type,yes,no,abstain
340,"C/Fortran predefined datatypes for C++ types",1st-and-only,19,0,2
187,"Grouping MPI_AINT, MPI_OFFSET, MPI_COUNT as Multi-language types",2nd,20,0,1
192,"C++ binding for Dist_graph_neighbors_count is badly broken",2nd,19,1,1
256,"MPI_PROC_NULL behavior for MPI_PROBE and MPI_IPROBE not directly defined",2nd,20,0,1
271,"Functions to query MPI_Info object attached to windows and communicators",2nd,20,0,1
278,"Update examples to not use deprecated constructs (where possible)",2nd,20,0,1
281,"Remove C++ Bindings",2nd,15,4,2
294,"MPI_UNWEIGHTED should not be NULL",2nd,20,0,1
300,"Fix issue with definition of nonblocking in One Sided Chapter",2nd,20,0,1
303,"Move MPI-1 deprecated functions to new 'Removed Interfaces' chapter",2nd,16,2,3
313,"MPI_INIT & MPI_FINALIZE",2nd,17,1,3
317,"correct error related to MPI_REQUEST_FREE",2nd,19,0,2
328,"fix MPI_PROC_NULL behavior for mprobe/improbe/mrecv/imrecv",2nd,20,0,1
