name,org,attend
"Wesley Bland","Intel",1
"Shinji Sumimoto","Fujitsu",1
"Yanfei Guo","Argonne National Laboratory",1
"Howard Pritchard","LANL",1
"Artem Polyakov","Mellanox",1
"Guillaume Mercier","Inria",1
"Keith Underwood","Intel",1
"Purushotham Bangalore","University of Alabama at Birmingham",1
"Matthew Dosanjh","Sandia National Laboratories",1
"James Custer","Hewlett Packard Enterprise",1
"Nicholas Radcliffe","Cray",1
"Sourav Chakraborty","The Ohio State University",1
"James Dinan","Intel Corporation",1
"Julien Jaeger","CEA",1
"Martin Schulz","Technical University of Munich",1
"Daniel Holmes","EPCC, The University of Edinburgh",1
"Anthony Skjellum","UTC",1
"Jean-Baptiste Besnard","ParaTools SAS",1
"Pavan Balaji","Argonne National Laboratory",1
"Hubert Ritzdorf","NEC Deutschland GmbH",1
"Geoffroy Vallee","Oak Rigde National Laboratory",1
"Richard Graham","Mellanox",1
