issue_number,topic,type,yes,no,abstain,missed
28,"Noncatastrophic Errors",no-no,20,0,0,
67,"Refined references to MPI processes throughout the Tools chapter",no-no,20,0,0,
91,"MPI_STATUS_SET_CANCELED F08 binding flag param intent",errata,20,0,0,
55,"broken link for rfc1832",errata,20,0,0,
72,"Behavior of MPI_Dims_create when ndims is zero",errata,20,0,0,
25,"Adding Persistent Collective Communication",1st,20,0,0,
28,"Noncatastrophic Errors",1st,20,0,0,
67,"Refined references to MPI processes throughout the Tools chapter",1st,20,0,0,
1,"Clarify MPI_ERRORS_ARE_FATAL scope of abort",2nd,20,0,0,
3,"Define new MPI Error handler for subcommunicator abort",2nd,20,0,0,
