name,org,attend
"Wesley Bland","Intel"
"Dan Holmes","EPCC, The University of Edinburgh"
"Purushotham Bangalore","University of Alabama at Birmingham"
"Hubert Ritzdorf","NEC Deutschland GmbH"
"Claudia Blaas-Schenner","TU Wien"
"Joseph Schuchart","HLRS, USTUTT"
"Shinji Sumimoto","Fujitsu"
"Guillaume Mercier","Bordeaux INP"
"Dong Zhong","The University of Tennessee, Knoxville"
"Thomas Naughton","ORNL"
"Rolf Rabenseifner","HLRS, University of Stuttgart"
"Atsushi Hori","Riken"
"Martin Schulz","Technical University of Munich"
"Martin Ruefenacht","University of Tennessee at Chattanooga"
"Howard Pritchard","LANL"
"Ignacio Laguna","Lawerence Livermore National Laboratory"
"Matthew Dosanjh","Sandia National Laboratories"
"Jean-Baptiste Besnard","ParaTools"
"Marc-André Hermanns","RWTH Aachen University"
"Richard Graham","Mellanox Technologies"
"William Marts","Sandia National Laboratories"
