"org","#6: Update on Release Process to adjust to existing GitHub Workflow (procedure)","#7: Officer Election (procedure)","#96: Semantic Terms (no-no)","#137: The Embiggenment (BigCount) (1st)","#103: MPI Sessions (2nd)","#143: Creating an MPI_INFO_ENV object before MPI_INIT. (2nd)","#132: Hardware split, guided mode. (2nd)","#156: Hardware split, unguided mode. (2nd)","#136: Partitioned Point-to-Point Communication (2nd)","#122: Intro nonblocking, no serialization and no deadlocks (2nd)","#6: Update on Release Process to adjust to existing GitHub Workflow (procedure)","#7: Officer Election (procedure)","#96: Semantic Terms (no-no)","#137: The Embiggenment (BigCount) (1st)","#103: MPI Sessions (2nd)","#143: Creating an MPI_INFO_ENV object before MPI_INIT. (2nd)","#132: Hardware split, guided mode. (2nd)","#156: Hardware split, unguided mode. (2nd)","#136: Partitioned Point-to-Point Communication (2nd)","#122: Intro nonblocking, no serialization and no deadlocks (2nd)","#167: Dan - Error - Section 3.3.2 - p. 38 - Replace C process (no-no)","#252: Dan - Clarification - Section 3.2.2 - p. 27 - Datatype Footnote (no-no)","#190: Dan - Update - Section 3.7.5 - p. 60 - Replace C-bias with LIS (no-no)","#263: Wesley - Clarification - Section 11.7 - p. 482 - MPI Exception Clarification (no-no)","#181: George - Oversight - Section 8.7 - p. 383 - Escape Spaces in Arguments (no-no)","#254: George - Clarification - Example 4.17 - p. 128 - Example Comment (no-no)","#96: Semantic Terms 2 (no-no)","#179: Joseph - Omission - p. 440 - WIN_DETATCH Binding Fix (errata)","#178: Joseph - Omission - p. 439 - WIN_ATTACH_ Binding Fix (errata)","#167: Dan - Error - Section 3.3.2 - p. 38 - Replace C process (errata)","#252: Dan - Clarification - Section 3.2.2 - p. 27 - Datatype Footnote (errata)","#190: Dan - Update - Section 3.7.5 - p. 60 - Replace C-bias with LIS (errata)","#218: Wesley - Update - Section 17.1 - p. 635 - Update Backward Incompatibility Text (errata)","#262: Wesley - Clarification - Section 11.3.5 - p. 458 - Error in Status Field Clarification (errata)","#263: Wesley - Clarification - Section 11.7 - p. 482 - MPI Exception Clarification (errata)","#171: George - Error in text - Section 4.1.1 - p. 87 - INTEGER*8 Extension (errata)","#181: George - Oversight - Section 8.7 - p. 383 - Escape Spaces in Arguments (errata)","#254: George - Clarification - Example 4.17 - p. 128 - Example Comment (errata)","#257: Julien - Clarification - Section 5.1 - p. 144 - Collective Synchronization (errata)","#182: Julien - Question - Section 5.12.4 - p. 206 - MPI_ISCATTERV sendcounts and displs Consistency (errata)"
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Pacific Northwest National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Tennessee, Chattanooga","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"IBM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"EPCC, The University of Edinburgh","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lawrence Berkeley National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Atos","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
