"name","org","attend"
"Wesley Bland","Intel Corporation","1"
"Jeff Squyres","Cisco","1"
"Artem Polyakov","NVIDIA","0"
"Ryan Grant","Sandia National Laboratory","1"
"Howard Pritchard","Los Alamos National Laboratory","1"
"Kathryn Mohror","Lawrence Livermore National Laboratory","1"
"Rich Graham","NVIDIA","0"
"Martin Schulz","Technical University of Munich","1"
"Michael Knobloch","Forschungszentrum Julich","1"
"Thomas Naughton","Oak Ridge National Laboratory","1"
"Purushotham Bangalore","University of Alabama at Birmingham","1"
"Ken Raffenetti","Argonne National Laboratory","1"
"Brian Smith","Oak Ridge National Laboratory","1"
"Jeff Hammond","Intel Corporation","0"
"Guillaume Mercier","INRIA","1"
"Shinji Sumimoto","Fujitsu","1"
"Jean-Baptiste Besnard","ParaTools SAS","1"
"Ali Mohammed","University of Basel","1"
"Hubert Ritzdorf","NEC Corporation","1"
"Hugo Taboada","CEA","1"
"James Dinan","NVIDIA","1"
"Christoph Niethammer","HLRS, University of Stuttgart","1"
"Joshua Hursey","IBM","1"
"Ignacio Laguna","Lawrence Livermore National Laboratory","1"
"Maria Garzaran","Intel Corporation","0"
"Nick Radcliffe","HPE","1"
"Atsushi Hori","RIKEN","1"
"Marc-André Hermanns","RWTH Aachen University","1"
"Dan Holmes","EPCC, The University of Edinburgh","1"
"Rolf Rabenseifner","HLRS, University of Stuttgart","1"
"Derek Schafer","University of Tennessee, Chattanooga","1"
"Anthony Skjellum","University of Tennessee, Chattanooga","1"
"W. Pepper Marts","University of New Mexico","1"
"Matthew Dosanjh","Sandia National Laboratory","1"
"Andrew Worley","Tennessee Technological University","1"
"Claudia Blaas-Schenner","VSC Research Center, TU Wien","1"
"Thomas Hines","Tennessee Technological University","1"
"Hari Subramoni","Ohio State University","1"
"Sayan Ghosh","Pacific Northwest National Laboratory","1"
"Amanda Bienz","University of New Mexico","1"
"Whit Schonbein","Sandia National Laboratory","1"
"Aurelien Bouteiller","University of Tennessee, Knoxville","1"
