"org","#137: The Embiggenment aka BigCount (no-no)","#308: Add MPI_INFO argument to PSEND_INIT and PRECV_INIT calls for Partitioned Communication Chapter (no-no)","#306: MPI_STATUS_SIZE, MPI_SOURCE, MPI_TAG, MPI_ERROR not defined in C (errata)","#307: C bindings for MPI_STATUS_F082F and MPI_STATUS_F2F08 are missing const (errata)","#301: Improve text for MPI_Comm_split_type (errata)","#309: Clarify when to return info objects in MPI_T events chapter (errata)","#148: Changes to MPI_T Events if info objects were available before MPI initialization (errata)","#283: Add MPI_Remove_error_class, MPI_Remove_error_code, MPI_Remove_error_string (1st)","#259: Error Class and Code Advice to Implementors (2nd)","#96: The terms chapter is missing many terms we would like to see added for MPI-4 (2nd)","#310: Clarify MPI object isolation description in Chapter 10.3 (no-no)","#137: The Embiggenment aka BigCount (no-no)","#308: Add MPI_INFO argument to PSEND_INIT and PRECV_INIT calls for Partitioned Communication Chapter (no-no)","#306: MPI_STATUS_SIZE, MPI_SOURCE, MPI_TAG, MPI_ERROR not defined in C (errata)","#307: C bindings for MPI_STATUS_F082F and MPI_STATUS_F2F08 are missing const (errata)","#301: Improve text for MPI_Comm_split_type (errata)","#309: Clarify when to return info objects in MPI_T events chapter (errata)","#148: Changes to MPI_T Events if info objects were available before MPI initialization (errata)","#283: Add MPI_Remove_error_class, MPI_Remove_error_code, MPI_Remove_error_string (1st)","#259: Error Class and Code Advice to Implementors (2nd)","#96: The terms chapter is missing many terms we would like to see added for MPI-4 (2nd)","#310: Clarify MPI object isolation description in Chapter 10.3 (no-no)","#308: Add MPI_INFO argument to PSEND_INIT and PRECV_INIT calls for Partitioned Communication Chapter (errata)","#310: Clarify MPI object isolation description in Chapter 10.3 (errata)","#137: The Embiggenment aka BigCount (2nd)"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain"
"University of Basel","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NVIDIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes"
"EPCC, The University of Edinburgh","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NEC Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cisco","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
