org,#456: Fix list of functions that are callable at any time (errata),#500: Fix LIS for MPI_T events functions (errata),#495: Remove LIS Changes in I/O Chapter (errata),#458: Issue A 'applang' - PR444 + PR528 applied to RC-4-June (errata),#459: Issue B 'change-log' - PR434(change-log part) + PR529 applied to RC-4-June (errata),#460: Issue C 'bindings' - PR434(bindings part) + PR530 applied to RC-4-June (errata),#461: Issue D 'contexts' - PR484 + PR533 applied to RC-4-June (errata),#462: Issue E 'dynamics' - the first change of PR258 applied to RC-4-June (errata),#463: Issue F 'terms' - the second change of PR258 + PR534 applied to RC-4-June (errata),#464: Issue G 'datatypes' - PR531 applied to RC-4-June (errata),#435: Issue I - Is definition of local Session_init + collective Session_finalize pair broken? (errata),#491: Issue L - Progress references in General Index - for RC-4-June (errata),#453: Clarifications of PR#423 uses wrong language (errata),#433: Handling of extra state in dropped event handler for MPI_T (errata),#444: Fix undefined behaviour of MPI_Info_get_string caused by binding to MPI_Info_set (errata),#424: Sessions: need to update sections of standard describing initial error handler (errata),#437: LIS inout and C&Fortran IN fix for Partitioned Communication (errata),#446: Fix to the Partitioned Communication Chapter for the rank/process/group/file/win/communicator nomenclature (errata),#438: Handling of enum argument on MPI_T_event_get_info (errata),#454: Add progress of partitioned communication sentence (errata),#488: Issue W 'backward/semantic changes' - PR434 + PR445 + PR544 applied to RC-4-June (no-no),#489: Incomplete listing of communicator duplication functions (no-no),#501: Add xref in 4.0 ChangeLog for LargeCount (no-no),#465: Issue H 'coll' - PR532 applied to RC-4-June (errata),#456: Fix list of functions that are callable at any time (errata),#500: Fix LIS for MPI_T events functions (errata),#495: Remove LIS Changes in I/O Chapter (errata),#458: Issue A 'applang' - PR444 + PR528 applied to RC-4-June (errata),#459: Issue B 'change-log' - PR434(change-log part) + PR529 applied to RC-4-June (errata),#460: Issue C 'bindings' - PR434(bindings part) + PR530 applied to RC-4-June (errata),#461: Issue D 'contexts' - PR484 + PR533 applied to RC-4-June (errata),#462: Issue E 'dynamics' - the first change of PR258 applied to RC-4-June (errata),#463: Issue F 'terms' - the second change of PR258 + PR534 applied to RC-4-June (errata),#464: Issue G 'datatypes' - PR531 applied to RC-4-June (errata),#435: Issue I - Is definition of local Session_init + collective Session_finalize pair broken? (errata),#491: Issue L - Progress references in General Index - for RC-4-June (errata),#453: Clarifications of PR#423 uses wrong language (errata),#433: Handling of extra state in dropped event handler for MPI_T (errata),#444: Fix undefined behaviour of MPI_Info_get_string caused by binding to MPI_Info_set (errata),#424: Sessions: need to update sections of standard describing initial error handler (errata),#437: LIS inout and C&Fortran IN fix for Partitioned Communication (errata),#446: Fix to the Partitioned Communication Chapter for the rank/process/group/file/win/communicator nomenclature (errata),#438: Handling of enum argument on MPI_T_event_get_info (errata),#454: Add progress of partitioned communication sentence (errata),#488: Issue W 'backward/semantic changes' - PR434 + PR445 + PR544 applied to RC-4-June (no-no),#489: Incomplete listing of communicator duplication functions (no-no),#501: Add xref in 4.0 ChangeLog for LargeCount (no-no),#465: Issue H 'coll' - PR532 applied to RC-4-June (errata),Vote to ratify MPI 4.0 (procedure)
Intel Corporation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
University of Basel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"HLRS, University of Stuttgart",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Lawrence Livermore National Laboratory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Argonne National Laboratory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Technical University of Munich,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Collis-Holmes Innovations Limited,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Forschungszentrum Julich,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
University of Alabama at Birmingham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"ZIH, TU Dresden",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
