"org","#498: Emend the point-to-point progress rule 'on two processes' (errata)","#434: Sessions: need to clarify limitations when mixing the sessions model with dynamic process model (errata)","#510: C Binding for MPI_CREATE_INFO_ENV (errata)","#517: Forgotten MPI_Status_set_elements_c (errata)","#509: Fix Wrong Examples in Partitioned Communications Chapter (errata)"
"AMD","Yes","Yes","Yes","Yes","Yes"
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Yes"
"Atos","Yes","Yes","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes"
"Collis-Holmes Innovations Limited","Yes","Yes","Yes","Yes","Yes"
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes"
"Forschungszentrum Julich","Yes","Yes","Yes","Yes","Yes"
"Fujitsu","Yes","Yes","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes"
"HPE","Yes","Yes","Yes","Yes","Yes"
"IBM","Yes","Yes","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes","Yes","Yes"
"Intel Corporation","Yes","Yes","Yes","Yes","Yes"
"Kichakato Kizito","Yes","Yes","Yes","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes"
"Leibniz Supercomputing Centre","Yes","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes"
"NVIDIA","Yes","Yes","Yes","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes"
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes"
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes"
"Technical University of Munich","Abstain","Yes","Yes","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes"
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes","Yes"
"University of Basel","Yes","Yes","Yes","Yes","Yes"
"University of Tennessee, Chattanooga","Yes","Yes","Yes","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes","Yes","Yes","Yes"
"University of Illinois Urbana-Champaign","Abstain","Abstain","Abstain","Abstain","Abstain"
