"org","525: Add new error class MPI_ERR_ERRHANDLER (1st)","525: Add new error class MPI_ERR_ERRHANDLER (no-no)"
"ParaTools SAS","Yes","Yes"
"Tennessee Technological University","Yes","Yes"
"RWTH Aachen University","Yes","Yes"
"IBM","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes"
"Technical University of Munich","Yes","Yes"
"University of Tennessee, Knoxville","Yes","Yes"
"INRIA","Yes","Yes"
"Collis-Holmes Innovations Limited","Yes","Yes"
"Sandia National Laboratory","Yes","Yes"
"Intel Corporation","Yes","Yes"
"AMD","Yes","Yes"
"Fujitsu","Yes","Yes"
"University of Basel","Yes","Yes"
"University of Alabama","Yes","Yes"
"Argonne National Laboratory","Yes","Yes"
"CEA","Yes","Yes"
"HPE","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes"
"NVIDIA","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes"
"Leibniz Supercomputing Centre","Yes","Yes"
"Forschungszentrum Julich","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes"
"Kichakato Kizito","Yes","Yes"
"Cornelis Networks","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes"
"Queen's University","Abstain","Abstain"
"University of New Mexico","Abstain","Abstain"
"University of Tennessee, Chattanooga","Abstain","Abstain"
