"org","#544: MPI_*_GET_NAME functions accept MPI_*_NULL handles (no-no)","#525: Add new error class MPI_ERR_ERRHANDLER (2nd)"
"Queen's University","Yes","Yes"
"University of Tennessee, Knoxville","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes"
"Leibniz Supercomputing Centre","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes"
"Forschungszentrum Julich","Yes","Yes"
"Tennessee Tech University","Yes","Abstain"
"CEA","Yes","Yes"
"Argonne National Laboratory","Yes","Yes"
"AMD","Yes","Abstain"
"Oak Ridge National Laboratory","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes"
"Sandia National Laboratory","Yes","Yes"
"IBM","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes"
"Technical University of Munich","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes"
"Ohio State University","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes"
"INRIA","Yes","Yes"
"Cornelis Networks","Abstain","Yes"
"NVIDIA","Yes","Yes"
"HPE","Yes","Yes"
"ParaTools SAS","Yes","Yes"
"University of Tennessee, Chattanooga","Yes","Yes"
"Kichakato Kizito","Yes","Yes"
"Intel Corporation","abstain","abstain"
"University of New Mexico","abstain","abstain"
