"org","#511: MPI_Comm_create_from_group and friend - need clarification of errhandler argument (no-no)","#545: MPI_LASTUSEDCODE not covered in the sessions model (errata)","#544: Allow MPI_*_GET_NAME functions to accept MPI_*_NULL handles (1st)","#535: Language bindings chapter needs updating for Sessions model (1st)","#534: Clarify/fix description and usage of MPI_GROUP_NULL (1st)","#581: ULFM Fault Tolerance (slice 1: ack_failed, get_failed, revoke) (no-no)","#511: MPI_Comm_create_from_group and friend - need clarification of errhandler argument (errata)"
"Meta","Yes","Yes","Yes","Yes","Yes","",""
"University of Basel","Yes","Yes","Yes","Yes","Yes","",""
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","",""
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","",""
"AMD","Yes","Yes","Yes","Yes","Yes","",""
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","",""
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","",""
"Ohio State University","Yes","Yes","Yes","Yes","Yes","",""
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","",""
"Atos","Yes","Yes","Yes","Yes","Yes","",""
"Queen's University","Yes","Yes","Yes","Yes","Yes","",""
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","",""
"INRIA","Yes","Yes","Yes","Yes","Yes","",""
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","",""
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","",""
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","",""
"CEA","Yes","Yes","Yes","Yes","Yes","",""
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Yes","",""
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","",""
"The University of Tokyo","Yes","Yes","Yes","Yes","Yes","",""
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes","Yes","",""
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Yes","",""
"NVIDIA","Yes","Yes","Yes","Yes","Yes","",""
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","",""
"University of Alabama","Yes","Yes","Yes","Yes","Yes","",""
"HPE","Yes","Yes","Yes","Yes","Yes","",""
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","",""
"University of New Mexico","Abstain","Yes","Abstain","Abstain","Abstain","",""
"University of Tennessee, Chattanooga","abstain","abstain","abstain","abstain","abstain","",""
