"org","#553: RMA: Add missing win-sync calls to Example 12.21 (no-no)","#551: MPI_Win_free is synchronizing, except when it isn't (no-no)","#407: Adjust RMA Chapter to New Terms or vice versa (and remove interims statement) (no-no)","#429: RMA: Replace 'operation' with 'operator' where appropriate (no-no)","#590: Remove Physical Requirement from Voting Meetings (no-no)","#634: Fix MPI_WIN_SYNC text (no-no)","#589: Issues with Partitioned Communication Example-4.4 (no-no)","#590: Remove Physical Requirement from Voting Meetings (procedure)","#499: Errata Issue O - MPI_WIN_TEST with same progress as MPI_TEST (errata)","#556: MPI_Cart_Coords maxdims/ndims mixup missing from MPI 3.1 to MPI 4.0 (errata)","#160: ERRATA: Clarify behavior for invalid MPI_T binding arguments (errata)","#634: Fix MPI_WIN_SYNC text (errata)","#589: Issues with Partitioned Communication Example-4.4 (errata)","#468: Issue K - MPI_REQUEST_GET_STATUS with same progress as MPI_TEST (1st)","#407: Adjust RMA Chapter to New Terms or vice versa (and remove interims statement) (1st)","#553: RMA: Add missing win-sync calls to Example 12.21 (1st)","#551: MPI_Win_free is synchronizing, except when it isn't (1st)","#429: RMA: Replace 'operation' with 'operator' where appropriate (1st)","#554: RMA: both MPI_WIN_ALLOCATE and MPI_WIN_ALLOCATE_SHARED allocate memory (1st)","#581: ULFM Fault Tolerance (slice 1: ack_failed, get_failed, revoke) (1st)","#474: Fix Incorrect Usage of Rank/Task/etc. in Contexts Chapter (1st)","#535: Language bindings chapter needs updating for Sessions model (2nd)","#534: Clarify/fix description and usage of MPI_GROUP_NULL (2nd)","#544: Allow MPI_*_GET_NAME functions to accept MPI_*_NULL handles (2nd)","#493: Issue N - Progress-Section in terms-2.tex - for RC-4-June (no-no)","#414: Mention behavior with potential overflow (no-no)","#641: Including Annex A.2 back into the standard (no-no)","#605: Topologies - Add Example Titles (no-no)"
"Meta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AMD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Argonne National Laboratory","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Atos","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"IBM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
