"issue_number","topic","type","yes","no","abstain","missed"
553,"RMA: Add missing win-sync calls to Example 12.21","no-no","30","0","3","0"
551,"MPI_Win_free is synchronizing, except when it isn't","no-no","30","0","3","0"
407,"Adjust RMA Chapter to New Terms or vice versa (and remove interims statement)","no-no","30","0","3","0"
429,"RMA: Replace 'operation' with 'operator' where appropriate","no-no","30","0","3","0"
590,"Remove Physical Requirement from Voting Meetings","no-no","30","0","3","0"
634,"Fix MPI_WIN_SYNC text","no-no","30","0","3","0"
589,"Issues with Partitioned Communication Example-4.4","no-no","30","0","3","0"
590,"Remove Physical Requirement from Voting Meetings","procedure","30","0","3","0"
499,"Errata Issue O - MPI_WIN_TEST with same progress as MPI_TEST","errata","30","0","3","0"
556,"MPI_Cart_Coords maxdims/ndims mixup missing from MPI 3.1 to MPI 4.0","errata","30","0","3","0"
160,"ERRATA: Clarify behavior for invalid MPI_T binding arguments","errata","29","0","4","0"
634,"Fix MPI_WIN_SYNC text","errata","30","0","3","0"
589,"Issues with Partitioned Communication Example-4.4","errata","30","0","3","0"
468,"Issue K - MPI_REQUEST_GET_STATUS with same progress as MPI_TEST","1st","28","0","5","0"
407,"Adjust RMA Chapter to New Terms or vice versa (and remove interims statement)","1st","28","0","5","0"
553,"RMA: Add missing win-sync calls to Example 12.21","1st","30","0","3","0"
551,"MPI_Win_free is synchronizing, except when it isn't","1st","28","0","5","0"
429,"RMA: Replace 'operation' with 'operator' where appropriate","1st","30","0","3","0"
554,"RMA: both MPI_WIN_ALLOCATE and MPI_WIN_ALLOCATE_SHARED allocate memory","1st","30","0","3","0"
581,"ULFM Fault Tolerance (slice 1: ack_failed, get_failed, revoke)","1st","28","0","5","0"
474,"Fix Incorrect Usage of Rank/Task/etc. in Contexts Chapter","1st","29","0","4","0"
535,"Language bindings chapter needs updating for Sessions model","2nd","30","0","3","0"
534,"Clarify/fix description and usage of MPI_GROUP_NULL","2nd","30","0","3","0"
544,"Allow MPI_*_GET_NAME functions to accept MPI_*_NULL handles","2nd","30","0","3","0"
493,"Issue N - Progress-Section in terms-2.tex - for RC-4-June","no-no","30","0","3","0"
414,"Mention behavior with potential overflow","no-no","31","0","2","0"
641,"Including Annex A.2 back into the standard","no-no","30","0","3","0"
605,"Topologies - Add Example Titles","no-no","31","0","2","0"
