number,topic,type,yes,no,abstain,missed
586,"MPI_Buffer_attach and Sessions",no-no,0,0,0,0
538,"Allow pset names to guide splitting in MPI_Comm_split_type",no-no,0,0,0,0
379,"Rename External Interfaces Chapter",1st,0,0,0,0
586,"MPI_Buffer_attach and Sessions",1st,0,0,0,0
538,"Allow pset names to guide splitting in MPI_Comm_split_type",1st,0,0,0,0
407,"Adjust RMA Chapter to New Terms or vice versa (and remove interims statement)",2nd,0,0,0,0
553,"RMA: Add missing win-sync calls to Example 12.21",2nd,0,0,0,0
551,"MPI_Win_free is synchronizing, except when it isn't",2nd,0,0,0,0
429,"RMA: Replace 'operation' with 'operator' where appropriate",2nd,0,0,0,0
554,"RMA: both MPI_WIN_ALLOCATE and MPI_WIN_ALLOCATE_SHARED allocate memory",2nd,0,0,0,0
474,"Fix Incorrect Usage of Rank/Task/etc. in Contexts Chapter",2nd,0,0,0,0
