number,topic,type,yes,no,abstain,missed
154,"New interface to query hardware resource info","no-no"
154,"New interface to query hardware resource info","1st"
543,"Pending operation not defined, pending proper definition","1st"
641,"Including Annex A.2 back into the standard","2nd"
493,"Issue N - Progress-Section in terms-2.tex","2nd"
471,"Fix Incorrect Usage of Rank/Task/etc. in Terms Chapter","2nd"
565,"Refer to Fortran 2018 instead of 2008+TS","2nd"
644,"Update 'Process Topology' chapter title to use MPI process","2nd"
542,"Correct usage of the terms error and return codes in the tools chapter","2nd"
414,"Mention behavior with potential overflow","2nd"
672,"MPIR side document not fully compliant with proposed requirements","errata"
673,"MQD side document not fully compliant with proposed requirements","errata"
564,"Fortran Binding Issues and Capitalization","errata"
680,"missing MPI_Scan_init and MPI_Exscan_init from a sentence on collective taxonomy","errata"
57,"Deprecate MPI_HOST","no-no"
57,"Deprecate MPI_HOST","1st"
408,"added reference to the fact that hints must be adhered to by the app","1st"
411,"Fix comment on Info object in incomplete functions","no-no"
411,"Fix comment on Info object in incomplete functions","1st"
480,"Fix Incorrect Usage of Rank/Task/etc. in External Interfaces Chapter","no-no"
480,"Fix Incorrect Usage of Rank/Task/etc. in External Interfaces Chapter","1st"
541,"Consistency Updates for MPI_Info Chapter for MPI 4.1","1st"
555,"Example 12.4, RMA communication calls may not block in PSCW","1st"
653,"Make all RMA communication procedures local","no-no"
653,"Make all RMA communication procedures local","1st"
652,"RMA, Examples 12.4 and 12.5 contain advice to implementors","no-no"
652,"RMA, Examples 12.4 and 12.5 contain advice to implementors","1st"
23,"Allow MPI_WIN_SHARED_QUERY on created and allocated windows","no-no"
23,"Allow MPI_WIN_SHARED_QUERY on created and allocated windows","1st"
646,"WTIME and WTICK should be symbols","2nd"
647,"Handle conversions should be symbols","2nd"
561,"Deprecate mpif.h","no-no"
561,"Deprecate mpif.h","2nd"
538,"Allow pset names to guide splitting in MPI_Comm_split_type","2nd"
117,"Logically concurrent is not","2nd"
188,"Section 3.5 - p. 45 - Comment Erroneous Example","2nd"
83,"Info key for strict start ordering of persistent collective communication","2nd"
472,"Fix Incorrect Usage of Rank/Task/etc. in Point to Point Chapter","2nd"
518,"Deprecate all _x procedures","no-no"
518,"Deprecate all _x procedures","1st"
683,"MPI_Dims_create, is as close to each other as possible a
requirement?","no-no"

