"org","#710 (PR #823): 'Pending communication' not defined in definition of MPI_Comm_disconnect (no-no)","#669 (PR #788): Add operation state 'enabled' and 'local calls' into Terms (2nd)","#457 (PR #804): Improvements around the word 'rank' in the Process Topologies chapter (2nd)","#485 (PR #803): Fix Incorrect Usage of Rank/Task/etc. in Language Bindings Chapter (2nd)","#586 (PR #736): MPI_Buffer_attach and Sessions (2nd)","#685 (PR #808): Add Iflush procedures to new buffered mode send buffer handling (2nd)","#541 (PR #647): Minor edits for consistency in chap-misc (2nd)","#408 (PR #740): Merge or Cross-Reference that Hints must be obeyed by Application in RMA and Info Chapters (2nd)","#478 (PR #688): Fix Incorrect Usage of Rank/Task/etc. in Process Management Chapter (2nd)","#563 (PR #780): Clean up chapter descriptions (2nd)","#341 (PR #806): fixes for most issues in the collective chapter from MPI4.0-RC (2nd)","#283 (PR #166): Add MPI_Delete_error_class, MPI_Delete_error_code, MPI_Delete_error_string (2nd)","#519 (PR #799): Add functions to check multiple request statuses at once (2nd)","#580 (PR #714): Memory Allocation Kind Info (2nd)","#520 (PR #798): Add compound datatypes for large integers for MPI_(MIN|MAX)LOC (2nd)","#639 (PR #750): MPI_WAIT is nonlocal, except when it isn’t (2nd)","#562 (PR #694): Anchor side documents in the standard (2nd)","#640 (PR #749): RMA accumulate operations don't distinguish between throughput and latency sensitive applications (2nd)","#679 (PR #820): Errata: Noncollective (for procedure) and nonpersistent are not defined (errata)","#705 (PR #822): Errata: Fortran has only compile-time constants (errata)","#710 (PR #823): 'Pending communication' not defined in definition of MPI_Comm_disconnect (errata)","#676 (PR #825): 'Pending operation' not defined, pending proper definition (errata)"
"Meta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HPE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Argonne National Laboratory","Abstain","Abstain","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","No","Yes"
"University of Alabama","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Atos","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"The University of Tokyo","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"IBM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AMD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Université Grenoble Alpes","Yes","Abstain","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NVIDIA","Abstain","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain","Abstain","Abstain"
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Leibniz Supercomputing Centre","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ohio State University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of Tennessee, Chattanooga","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Abstain","Yes","Yes"
