"issue_number","pr_number","topic","type","yes","no","abstain","missed"
"710","823","'Pending communication' not defined in definition of MPI_Comm_disconnect","no-no","30","0","4","0"
"679","820","Errata: Noncollective (for procedure) and nonpersistent are not defined","errata","0","0","0","0"
"705","822","Errata: Fortran has only compile-time constants","errata","0","0","0","0"
"710","823","'Pending communication' not defined in definition of MPI_Comm_disconnect","errata","0","0","0","0"
"676","825","'Pending operation' not defined, pending proper definition","errata","0","0","0","0"
"669","788","Add operation state 'enabled' and 'local calls' into Terms","2nd","32","0","2","0"
"457","804","Improvements around the word 'rank' in the Process Topologies chapter","2nd","34","0","0","0"
"485","803","Fix Incorrect Usage of Rank/Task/etc. in Language Bindings Chapter","2nd","34","0","0","0"
"586","736","MPI_Buffer_attach and Sessions","2nd","32","1","1","0"
"685","808","Add Iflush procedures to new buffered mode send buffer handling","2nd","33","1","0","0"
"541","647","Minor edits for consistency in chap-misc","2nd","33","0","1","0"
"408","740","Merge or Cross-Reference that Hints must be obeyed by Application in RMA and Info Chapters","2nd","34","0","0","0"
"478","688","Fix Incorrect Usage of Rank/Task/etc. in Process Management Chapter","2nd","34","0","0","0"
"563","780","Clean up chapter descriptions","2nd","34","0","0","0"
"341","806","fixes for most issues in the collective chapter from MPI4.0-RC","2nd","34","0","0","0"
"283","166","Add MPI_Delete_error_class, MPI_Delete_error_code, MPI_Delete_error_string","2nd","34","0","0","0"
"519","799","Add functions to check multiple request statuses at once","2nd","33","0","1","0"
"580","714","Memory Allocation Kind Info","2nd","34","0","0","0"
"520","798","Add compound datatypes for large integers for MPI_(MIN|MAX)LOC","2nd","33","0","1","0"
"639","750","MPI_WAIT is nonlocal, except when it isn’t","2nd","32","0","2","0"
"562","694","Anchor side documents in the standard","2nd","34","0","0","0"
"640","749","RMA accumulate operations don't distinguish between throughput and latency sensitive applications","2nd","33","0","1","0"
