"org","Ballot to approve release candidate with listed changes (procedure)"
"Meta","Yes"
"INRIA","Yes"
"NVIDIA","Yes"
"Cornelis Networks","Yes"
"Argonne National Laboratory","Yes"
"EPCC, The University of Edinburgh","Yes"
"ZIH, TU Dresden","Yes"
"University of Tennessee, Chattanooga","Yes"
"Lawrence Livermore National Laboratory","Yes"
"CEA","Yes"
"The Texas Advanced Computing Center","Yes"
"HLRS, University of Stuttgart","Yes"
"Ohio State University","Yes"
"ParaTools SAS","Yes"
"Sandia National Laboratory","Yes"
"Université Grenoble Alpes","Yes"
"University of Tennessee, Knoxville","Yes"
"Los Alamos National Laboratory","Yes"
"Oak Ridge National Laboratory","Yes"
"The University of Tokyo","Yes"
"University of Illinois Urbana-Champaign","Yes"
"Technical University of Munich","Yes"
"VSC Research Center, TU Wien","Yes"
"Amazon","Yes"
"RWTH Aachen University","Yes"
"HPE","Yes"
"AMD","Yes"
"Intel Corporation","Yes"
"University of Alabama","Yes"
"Queen's University","abstain"
