"org","#791 (PR #908): POST-RC4.1 FIXES -- Point-to-Point Chapter 3 (errata)","#787 (PR #883): Fixes for typos in the datatype chapter (errata)","#755 (PR #885): chap-dynamic: remove use of \const (errata)","#790 (PR #906): mpi-4.1rc reviewer feedback for chap-11 (errata)","#779 (PR #910): change-log entry for PR 629 missing (errata)","#774 (PR #898): Add change-log for PR #830 (errata)","#781 (PR #902): change-log entry for PR 607 missing (errata)","#784 (PR #886): Reviewers comments and changes to chapter 7 in RC 4.1 (errata)","#758 (PR #903): RMA-specific operators are not *new* (errata)","#763 (PR #905): RMA: remove reference to MPI-2 RMA (errata)","#760 (PR #904): RMA: Contradicting rules about use  of MPI_REQUEST_FREE (errata)","#745 (PR #857): RMA chapter committee changes (errata)","#764 (PR #912): MPI 4.1 RMA chapter review issues (errata)","#777 (PR #917): change-log entry missing for PR 663 (errata)","#776 (PR #916): change-log entry missing for PR 671 (errata)","#795 (PR #914): MPI 4.1rc topology chapter review: Update neighbor collective LIS entries to use associated virtual topology (errata)","#749 (PR #876): Corrections and edits to the Virtual Topologies chapter for MPI4.1rc1 (errata)","#797 (PR #915): 41rc1 collective chapter : use rank instead of MPI process for several collectives LIS (errata)","#800 (PR #919): 41rc1 io chapter : Example 14.4 is used as a noun, which makes the text flow a bit odd (errata)","#799 (PR #918): 41rc1 io chapter : fix most of small reviews (errata)","#780 (PR #922): change-log entry missing for PR 620 (errata)","#753 (PR #881): Change-log typos (errata)","#741 (PR #884): Changelog: multiple mention of clarification of progress rules (errata)","#801 (PR #921): Change-log entry have incorrect/no references. (errata)","#792 (PR #909): Removed Interfaces RC Issues (errata)","#740 (PR #882): Stray subsection 'Host Rank' in Section 16.4 (errata)","#783 (PR #901): Minor text updates from 4.1-rc1 review (errata)","#759 (PR #892): Use of 'local MPI process' does not conform to common practice in the document (errata)","#757 (PR #889): Text about PVAR watermark classes is ambiguous (errata)","#752 (PR #880): Fix WG chairs (no-no)","#747 (PR #874): Errata entry of PR #754 in wrong section (no-no)","#794 (PR #913): 41rc1: chap10 - harmonizing mention to mpif.h and adding a missing (deprecated) (no-no)","Vote on whether to repeat the FRM (procedure)","Vote to ratify MPI 4.1 (procedure)","Officer Elections (procedure)"
"Meta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"Ohio State University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"HPE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"ZIH, TU Dresden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","",""
