"org","#696: Merge Side Documents Definition With All Other Types of Documents (procedure)","#813: Remove FRM Repeat Vote from Procedures (procedure)","#810 (PR #946): Clarification of `mpi_memory_alloc_kinds` key behavior with `MPI_INFO_ENV` (no-no)","#582 (PR #715): ULFM Fault Tolerance (slice 2: agree) (no-no)","#778 (PR #899): change-log entry missing for PR 658 (no-no)","#778 (PR #899): change-log entry missing for PR 658 (errata)","#810 (PR #946): Clarification of `mpi_memory_alloc_kinds` key behavior with `MPI_INFO_ENV` (errata)","#811 (PR #938): groups: relax restriction on pset name provenance (1st)","#582 (PR #715): ULFM Fault Tolerance (slice 2: agree) (1st)"
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Meta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Queen's University","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Abstain"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain"
"NVIDIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain"
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes"
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Forschungszentrum Julich","Yes","Yes","Yes","Yes","Yes","abstain","abstain","abstain","abstain"
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Tennessee Technological University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain"
"Kichakato Kizito","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Abstain"
"AMD","Yes","Yes","Yes","Yes","Yes","abstain","abstain","abstain","abstain"
"INRIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ohio State University","Yes","Yes","Yes","Yes","Yes","abstain","abstain","abstain","abstain"
"Atos","Yes","Yes","Yes","Yes","Yes","abstain","abstain","abstain","abstain"
"Argonne National Laboratory","abstain","abstain","abstain","abstain","abstain","Yes","Yes","Abstain","No"
"IBM","abstain","abstain","abstain","abstain","abstain","Yes","Yes","Yes","Yes"
"Université Grenoble Alpes","abstain","abstain","abstain","abstain","abstain","Abstain","Abstain","Yes","Yes"
