"org","#822: Specify that procedures apply to all versions of MPI (no-no)","#811 (PR #938): groups, relax restriction on pset name provenance (no-no)","#822: Specify that procedures apply to all versions of MPI (procedure)","#811 (PR #938): groups, relax restriction on pset name provenance (2nd)"
"Meta","Yes","Yes","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes","Yes","Yes"
"Queen's University","Yes","Yes","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes"
"Argonne National Laboratory","Yes","Yes","Yes","Abstain"
"The University of Tokyo","Yes","Yes","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes","Yes"
"University of Alabama","Yes","Yes","Yes","Yes"
"Sandia National Laboratory","Yes","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes","Yes"
"Forschungszentrum Julich","Yes","Yes","Yes","Yes"
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes","Yes"
"HPE","Yes","Yes","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes"
"Cornelis Networks","Yes","Yes","Yes","Yes"
"ParaTools SAS","Yes","Yes","Yes","Yes"
"Intel Corporation","Yes","Yes","Yes","Yes"
"EPCC, The University of Edinburgh","Yes","Yes","Yes","Yes"
"Tennessee Technological University","Yes","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes"
"AMD","Yes","Yes","Yes","Yes"
"Technical University of Munich","Yes","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes"
"Kichakato Kizito","Yes","Abstain","Yes","Abstain"
"Eviden","abstain","abstain","abstain","abstain"
"NVIDIA","abstain","abstain","Yes","Yes"
"Ohio State University","abstain","abstain","Yes","Yes"
