"org","#654 (PR #978): a standalone MPI_F08 is painful without an ABI (no-no)","#850 (PR #973): Need to add text in description of MPI_Session_init that it is a local operation (no-no)","#809: Memory Allocation Kinds side document (no-no)","#814 (PR #968): Always set the MPI_ERROR field in status objects (no-no)","#654 (PR #978): a standalone MPI_F08 is painful without an ABI (1st)","#751 (PR #977): MPI needs a standard ABI (1st)","#850 (PR #973): Need to add text in description of MPI_Session_init that it is a local operation (1st)","#814 (PR #968): Always set the MPI_ERROR field in status objects (1st)","#819 (PR #960): Example for Fortran 2008 Wrapper is not in Example environment (1st)","#838 (PR #964): Text for `MPI_GET_HW_RESOURCE_INFO` needs clarification  (2nd)","#823 (PR #955): Make examples in `MPI_COMM_SPLIT_TYPE` consistent with `MPI_GET_HW_RESOURCE_INFO` (2nd)","#824 (PR #957): `MPI_GET_HW_RESOURCE_INFO` needs an example (2nd)","#809: Memory Allocation Kinds side document (2nd)"
"Meta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"The University of Tokyo","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ParTec","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Eviden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NVIDIA","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Forschungszentrum Julich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AMD","Abstain","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Yes"
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ohio State University","Yes","Yes","Yes","Yes","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain"
"Stony Brook University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kichakato Kizito","Abstain","Yes","Yes","Yes","Abstain","Yes","Yes","Yes","Yes","Abstain","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes","Yes","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain"
"HPE","Yes","Yes","Yes","Yes","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain","abstain"
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Queen's University","abstain","abstain","abstain","abstain","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
