name,org,remote,attend
Wes Bland,Meta,0,1
Howard Pritchard,Los Alamos National Laboratory,1,1
William Marts,HPE,1,1
Ali Farazdaghi,"Queen's University",1,1
Thomas Naughton,Oak Ridge National Laboratory,0,1
Jeff Hammond,NVIDIA,0,1
Hugo Taboada,CEA,0,1
Ryan Grant,"Queen's University",1,1
William Gropp,University of Illinois Urbana-Champaign,0,1
William Williams,"ZIH, TU Dresden",0,1
Matthew Dosanjh,Sandia National Laboratory,1,1
Maria Garzaran,Intel Corporation,1,1
Ken Raffenetti,Argonne National Laboratory,1,1
Shinji Sumimoto,The University of Tokyo,0,1
Ignacio Laguna,Lawrence Livermore National Laboratory,0,1
Claudia Blaas-Schenner,"VSC Research Center, TU Wien",0,1
Sonja Happ,ParTec,1,1
Edgar Gabriel,AMD,0,1
Guillaume Mercier,INRIA,1,1
Aleksandr Sannikov,Intel Corporation,0,1
