"org","#814 (PR #968): Be clear about when MPI_ERROR is set, from the start (2nd)","Ballot to approve release candidate with listed changes (procedure)"
"Meta","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes"
"Eviden","Yes","Yes"
"Forschungszentrum Julich","Yes","Yes"
"NVIDIA","Yes","Yes"
"Queen's University","Yes","Yes"
"Technical University of Munich","Yes","Yes"
"The University of Tokyo","Yes","Yes"
"RWTH Aachen University","Yes","Yes"
"VSC Research Center, TU Wien","Yes","Yes"
"CEA","Yes","Yes"
"ZIH, TU Dresden","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes"
"Karlsruhe Institute of Technology (KIT)","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes"
"Intel Corporation","Yes","Yes"
"INRIA","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes"
"Collis-Holmes Innovations Limited","Yes","Yes"
"University of Tennessee, Knoxville","Yes","Yes"
"Stony Brook University","Yes","Yes"
"Cornelis Networks","Yes","Yes"
"HPE","Yes","Yes"
"ParTec","Yes","Yes"
"Argonne National Laboratory","Yes","Abstain"
"AMD","Yes","Yes"
"Kichakato Kizito","Yes","Yes"
"Ohio State University","abstain","abstain"
"Sandia National Laboratory","abstain","abstain"
