"name","org","remote","attend"
"Wesley Bland","Meta","0","1"
"Yussur Mustafa Oraji","TU Darmstadt","0","1"
"Semih Burak","RWTH Aachen University","0","1"
"Yicheng Li","University of Tennessee, Knoxville","0","1"
"Pepper Marts","HPE","1","1"
"Anthony Skjellum","Tennessee Technological University","0","1"
"Riley Shipley","Tennessee Technological University","0","1"
"Ali Farazdaghi","Queen's University","1","1"
"Sonja Happ","ParTec","1","1"
"brian smith","Oak Ridge National Laboratory","0","1"
"William Gropp","University of Illinois Urbana-Champaign","1","1"
"Hui Zhou","Argonne National Laboratory","0","1"
"Martin Schulz","Technical University of Munich","0","1"
"Nat Shineman","Ohio State University","1","1"
"Howard Pritchard","Los Alamos National Laboratory","0","1"
"Hamed Sharifian","Queen's University","1","1"
"Bill Williams","CIDS, ZIH, TUD Dresden University of Technology","1","1"
"Shinji Sumimoto","The University of Tokyo","0","1"
"Hugo Taboada","CEA","0","1"
"Jiri Klepl","Charles University, MFF, D3S","0","1"
"Tim Niklas Uhl","Karlsruhe Institute of Technology (KIT)","0","1"
"Maria Garzaran","Intel Corporation","1","1"
"Joseph Schuchart","Stony Brook University","0","1"
"Michael Knobloch","Forschungszentrum Julich","1","1"
"Guillaume Mercier","INRIA","1","1"
"Tobias Haas","HLRS, University of Stuttgart","1","1"
"Ignacio Laguna","Lawrence Livermore National Laboratory","0","1"
"Thomas Naughton","Oak Ridge National Laboratory","0","1"
"Maxim Moraru","Los Alamos National Laboratory","0","1"
"Marc-André Hermanns","RWTH Aachen University","1","1"
"Edgar Gabriel","AMD","1","1"
"Derek Schafer","University of New Mexico","1","1"
"Jiakun Yan","University of Illinois Urbana-Champaign","0","1"
"Christoph Niethammer","HLRS, University of Stuttgart","0","1"
"Joachim Jenke","RWTH Aachen University","1","1"
"Amit Ruhela","The Texas Advanced Computing Center","0","1"
"Benson Muite","Kichakato Kizito","1","1"
"Francois-Henry Rouet","Synopsys","1","1"
