"org","#1001 (PR #1127): ERRATA: MPI_T handles do not have ABI definition (no-no)","#1001 (PR #1127): ERRATA: MPI_T handles do not have ABI definition (errata)","#863 (PR #1075): Clarify synchronization behavior of neighborhood collectives (errata)"
"Meta","Yes","Yes","Yes"
"Forschungszentrum Julich","Yes","Yes","Yes"
"Lawrence Livermore National Laboratory","Yes","Yes","Yes"
"Los Alamos National Laboratory","Yes","Yes","Yes"
"University of New Mexico","Yes","Yes","Yes"
"CIDS, ZIH, TUD Dresden University of Technology","Yes","Yes","Yes"
"ParTec","Yes","Yes","Yes"
"CEA","Yes","Yes","Yes"
"HPE","Yes","Yes","Yes"
"Tennessee Technological University","Yes","Yes","No"
"Technical University of Munich","Yes","Yes","Yes"
"Cornelis Networks","Yes","Yes","Abstain"
"Intel Corporation","Yes","Yes","Yes"
"Oak Ridge National Laboratory","Yes","Yes","Yes"
"Sandia National Laboratory","Yes","Yes","Yes"
"University of Illinois Urbana-Champaign","Yes","Yes","Yes"
"Karlsruhe Institute of Technology (KIT)","Yes","Yes","Yes"
"HLRS, University of Stuttgart","Yes","Yes","Yes"
"RWTH Aachen University","Yes","Yes","Yes"
"AMD","Yes","Yes","Yes"
"The University of Tokyo","Yes","Yes","Yes"
"INRIA","Yes","Yes","Yes"
"Argonne National Laboratory","Yes","Yes","Yes"
"Eviden","Yes","Yes","Yes"
"Ohio State University","Yes","Yes","Yes"
"Stony Brook University","Yes","Yes","Yes"
"The Texas Advanced Computing Center","Yes","Yes","Yes"
"ASC Research Center, TU Wien","Yes","Yes","Yes"
"NVIDIA","Yes","Yes","Abstain"
"Queen's University","Yes","Yes","Yes"
"Kichakato Kizito","Yes","Yes","Yes"
"University of Tennessee, Knoxville","abstain","abstain","abstain"
